#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
camp6,ha,04/09/2023,2,2,4,10,8,,prepct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,s,315,ac,jw,18,5,9,,,,,
2,s,45,ac,jw,4,5,9,pampas at fwd,,,,
3,e,225,ac,jw,16,5,9,,,,,
4,e,315,ac,jw,23,5,9,og rw stump at 5-7 m,,,,
5,w,45,jf,jf,10,5,9,,,,,
6,w,135,am,jf,42,5,9,decomposed log at 5 m,,,,
7,n,135,am,jf,23,5,9,perced fuels,,,,
8,n,225,am,jf,11,5,9,in/under rw stump at 5 m,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,33,0,0,3,50,5.5,4,30,4,,,
2,10,0,4,2,80,5.5,7,90,24,,,
3,4,0,0,1,100,50.5,6,0,11.28,,,
4,24,3,2,12,50,6,4,70,8.3,,,
5,13,3,4,3.5,40,10,2.5,20,5,,,
6,57,3,0,6,0,3,1,80,3,,,
7,54,0,1,4,30,50,1,10,1,,,
8,28,1,2,5,30,50,1.5,40,2,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,10,10,5.5,5,3,0.6,20,3,4.4,20,3,0.4
2,10,1,1,10,0,0.1,20,1,1.4,20,10,1
3,50,1,1.5,1,0,0.1,10,3,1.8,1,0,0.1
4,30,10,6,0,0,0,40,3,6,3,0,0.2
5,40,0.5,2,3,0.5,0.2,40,0.5,2.3,3,0.5,0.3
6,10,0,1.2,0.5,0,0.4,10,0,1.2,0.5,0,0.1
7,30,0,1.4,3,0.5,0.3,0.5,0,0.6,3,3,0.3
8,40,3,2.5,0,0,,10,0,0.5,10,3,0.4
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,cn,cn,,,,,,,,,,
2,hb to,df to rw,,,,,,,,,,
3,hb,to,,,,,,,,,,
4,rw,rw,,,,,,,,,,
5,to,cn,,,,,,,,,,
6,to,to,,,,,,,,,,
7,to,df,,,,,,,,,,
8,rw,df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,15,5,,,,,,,,,,
1,13.8,3,,,,,,,,,,
1,12.5,3,,,,,,,,,,
4,11,3,,,,,,,,,,
4,10.1,4,,,,,,,,,,
3,22.3,4,,,,,,,,,,
3,32.6,4,,,,,,,,,,
3,34.2,4,,,,,,,,,,
1,11,5,,,,,,,,,,
1,8,4,,,,,,,,,,
1,10,5,,,,,,,,,,
2,10,4,,,,,,,,,,
2,18,5,,,,,,,,,,
2,13,5,,,,,,,,,,
3,17.5,4,,,,,,,,,,
3,15,5,,,,,,,,,,
