#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldon,ld,3/17/2023,2,2,4,10,8,,prepct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,nw,90,ac,jf,1,5,9,transect trampled :(,,,,
2,nw,180,ac,jf,38,5,9,,,,,
3,sw,90,ac,jf,2,5,9,,,,,
4,sw,0,ac,jf,33,5,9,all slope in first 5 meters. Recorded average slope,,,,
5,se,0,ac,jf,22,5,9,,,,,
6,se,270,ac,jf,3,5,9,,,,,
7,ne,180,ac,jf,,5,9,,,,,
8,ne,270,ac,jf,10,5,9,fbd at 10 m is deep litter and large logs,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,20,7,6,2,70,13,6,40,8,,,
2,13,4,0,4.5,90,5,1.5,90,7,,,
3,4,3,3,8,5,6,4.5,40,4,,,
4,31,5,1,3.5,40,10,12,20,9,,,
5,23,6,6,9.5,10,4,5,10,8.5,,,
6,28,10,1,7,30,6,6,5,2,,,
7,16,12,6,2.5,90,3,6.5,30,4,,,
8,21,7,3,3.5,90,5,7,90,2.5,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,20,0.5,3.6,0,0,,30,0.5,3.7,0,0,
2,50,1,6,0,0,,30,1,4.5,0,0,
3,30,0.5,3.5,0,0,,10,20,4.8,10,0,0.2
4,70,10,6,0,0,,50,0.5,3.2,0,0,
5,40,1,3.6,0,0,,20,0,2,0,0,
6,60,1,3.5,0,0,,30,0,1.5,0.5,0,0.1
7,50,10,5.2,0,0,,20,1,3,0,0,
8,20,0,3,10,1,0.3,20,0,2.1,3,3,0.2
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,to rw,,,,,,,,,,
2,to cn,to,,,,,,,,,,
3,to,cn,,,,,,,,,,
4,rw,rw to,,,,,,,,,,
5,to,to,,,,,,,,,,
6,to,to,,,,,,,,,,
7,cn to,to,,,,,,,,,,
8,to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,20,5,,,,,,,,,,
1,10.4,2,,,,,,,,,,
1,28.6,2,,,,,,,,,,
1,24.8,3,,,,,,,,,,
2,16,4,,,,,,,,,,
3,7.5,3,,,,,,,,,,
3,10.1,3,,,,,,,,,,
5,10,2,,,,,,,,,,
6,10.7,3,,,,,,,,,,
7,14,4,,,,,,,,,,
8,25.7,3,,,,,,,,,,
