#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldos,hd,03/19/2023,2,2,4,10,8,,prepct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,nw,90,jt,jw,45,5,9,,,,,
2,nw,180,jt,jw,27,5,9,,,,,
3,ne,180,jt,jw,56,5,9,,,,,
4,ne,270,jt,jw,56,5,9,,,,,
5,se,270,jt,jw,38,5,9,perched fuels inside rw clump at 9 m,,,,
6,se,0,jt,jw,26,5,9,,,,,
7,sw,0,jt,jw,51,5,9,running up rw stump at 10 m,,,,
8,sw,90,jt,jw,25,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,17,4,3,6,20,6,2.5,100,2.5,,,
2,33,12,4,7,20,7,7.5,10,10,,,
3,48,5,4,9.5,20,7,5,70,5,,,
4,13,2,2,4.5,60,2.5,4.5,50,2.5,,,
5,15,8,3,15,10,40,8,10,7,,,
6,29,2,1,2.5,90,3.5,5,60,3.5,,,
7,4,1,0,12,10,9,17,5,1,,,
8,28,8,3,5,50,10,13,10,8,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,10,1,1,20,3,0.5,5,0,1.4,5,0.5,0.6
2,30,1,1.7,5,1,0.8,30,1,2.1,1,0.5,0.5
3,50,1,2.1,1,0.5,0.3,1,0,1,3,0,0.4
4,10,0,1.3,5,1,0.6,20,0.5,2.5,0,0,
5,50,20,7,0,0,,50,10,5.6,0.5,0,0.1
6,20,0.5,1.9,0.5,0,0.1,50,10,4.6,3,0,0.1
7,20,0,1.8,3,0.5,0.3,40,0,5,10,1,0.4
8,10,0.5,1.7,0,0,,40,0.5,2,3,0.5,0.5
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,to,,,,,,,,,,
2,to,to,,,,,,,,,,
3,to,to,,,,,,,,,,
4,rw,rw to,,,,,,,,,,
5,rw,rw to,,,,,,,,,,
6,to,cn,,,,,,,,,,
7,rw to,rw to,,,,,,,,,,
8,to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,13,2,,,,,,,,,,
2,25,3,,,,,,,,,,
2,8.4,3,,,,,,,,,,
2,11,3,,,,,,,,,,
1,25,3,,,,,,,,,,
5,31,3,,,,,,,,,,
5,16.1,3,,,,,,,,,,
7,35,5,,,,,,,,,,
8,35,5,,,,,,,,,,
8,14.5,4,,,,,,,,,,
