#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
whiskey,md,4/24/2022,2,2,4,10,8,moss as litter,prepct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,w,135,jf,jf,53,5,10,start of fuel transecst located 45 deg clockwise from veg plot center. Either the veg plot is in the wrong place or I mistakenly thought that it was and misplaced misplaced the transect,,,,
2,w,45,jf,jf,18,5,10,start of fuel transecst located 45 deg clockwise from veg plot center. Either the veg plot is in the wrong place or I mistakenly thought that it was and misplaced misplaced the transect,,,,
3,n,225,jf,jf,25,5,10,some large broom,,,,
4,n,135,jf,jf,23,5,10,,,,,
5,e,315,jf,jf,35,5,10,,,,,
6,e,225,jf,jf,2,5,10,10,,,,
7,s,45,jf,jf,24,5,10,moss as litter,,,,
8,s,315,jf,jf,4,5,10,medium jackpot in gully,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
5,5,3,3,6.5,70,,10.5,50,,,,
6,70,23,10,10,20,,16,10,,,,
3,4,9,7,5.5,100,,2.5,100,,,,
4,2,11,5,17,30,,10,50,,,,
7,9,0,0,7.5,50,,3.5,20,,,,
8,28,14,15,22.5,2,,4.5,60,,,,
1,15,12,4,1.5,100,,2.5,90,,,,
2,13,10,12,1.5,100,,4,20,,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
5,30,5,0.4,50,0,4.6,2,2,0.3,70,0,3.8
6,5,2,0.8,0,0,,2,5,0.8,10,0,1.8
3,5,1,0.7,50,0,3.3,10,2,0.8,30,0,3.2
4,20,2,0.6,30,0,4,2,0,0.3,60,0,3.6
7,40,2,1,5,0,1.5,40,0,0.5,50,0,2.6
8,5,0,0.5,10,0,1.5,10,2,0.4,50,0,4
1,40,0,0.2,10,0,0.7,1,0,0.5,40,0,2.4
2,40,0,0.5,10,0,2.3,20,2,0.5,30,0,2.3
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
5,rw,to rw,,,,,,,,,,
6,,to rw,,,,,,,,,,
3,rw,to rw,,,,,,,,,,
4,rw,rw,,,,,,,,,,
7,rw,to,,,,,,,,,,
8,rw,to rw,,,,,,,,,,
1,,to,,,,,,,,,,
2,mz,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
5,25,3,,,,,,,,,,
5,12,5,,,,,,,,,,
5,33,4,,,,,,,,,,
5,29,2,,,,,,,,,,
5,10,3,,,,,,,,,,
6,17,5,,,,,,,,,,
6,26,5,,,,,,,,,,
6,10,5,,,,,,,,,,
6,8,5,,,,,,,,,,
6,13,3,,,,,,,,,,
6,15,3,,,,,,,,,,
6,22,4,,,,,,,,,,
3,10,5,,,,,,,,,,
3,7,4,,,,,,,,,,
3,10,5,,,,,,,,,,
7,13,3,,,,,,,,,,
7,35,3,,,,,,,,,,
8,10,3,,,,,,,,,,
8,9,4,,,,,,,,,,
8,7,4,,,,,,,,,,
8,10,4,,,,,,,,,,
8,10,4,,,,,,,,,,
8,9,4,,,,,,,,,,
8,15,5,,,,,,,,,,
8,14,3,,,,,,,,,,
4,26,3,,,,,,,,,,
4,13,3,,,,,,,,,,
1,11,3,,,,,,,,,,
1,18,4,,,,,,,,,,
2,17,3,,,,,,,,,,
2,12,4,,,,,,,,,,
2,15,4,,,,,,,,,,
2,13,4,,,,,,,,,,
2,15,3,,,,,,,,,,
2,15,3,,,,,,,,,,
