#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
camp6,gs,1/11/2024,1,2,4,10,8,"Hard to see duff, mostly consitent of slash",postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,w,39,ac,ac,3,5,9,846,,,,
2,w,135,ac,ac,17,5,9,922,unthinned rw clump @@ 10m - on unthinned edge,,,
3,n,135,zj,ac,5,5,9,1013,,,,
4,n,225,zj,ac,3,5,9,1019,,,,
5,s,45,zj,ac,4,5,9,1104,"corner unthinned, random location chosen",,,
6,s,315,zj,ac,3,5,9,1109,"corner unthinned, random location chosen",,,
7,e,0,zj,ac,12,5,9,1137,Transect rotated to avoid unthinned area,,,
8,e,315,zj,ac,4,5,9,1129,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,17,15,10,17,100,17,11,95,19,,,
2,3,4,1,5,100,60,10,95,24,,,
3,18,7,11,7,95,40,4,95,26,,,
4,32,14,0,8,95,30,11,90,30,,,
5,7,2,1,4,95,30,6,95,20,,,
6,18,17,3,14,95,35,17,95,25,,,
7,10,30,4,6,95,25,9,95,25,,,
8,14,10,7,13,95,20,16,95,20,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,0.5,3,1.6,0,0,0,3,0.5,0.7,0.5,0,0.1
2,3,0,0.6,3,0,0.1,10,3,1.8,0,0,0
3,0,0,0,0.5,0,0.2,3,0,1.1,3,0,0.1
4,0.5,0,0.8,0.5,0,0.2,30,0,0.6,0,0.5,0.5
5,3,0.5,0.7,0,0,0,0.5,0,0.4,0,0,0
6,0.5,0,0.5,3,0.5,1.3,0.5,0,0.3,0.5,0,0.2
7,0.5,0,0.4,0,3,0.6,10,0,1.6,0,0,0
8,0.5,0,1.1,0.5,0.5,0.7,3,0.5,1.6,0.5,0,0.2
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,rw,,,,,,,,,,
2,to,rw,,,,,,,,,,
3,,df,,,,,,,,,,
4,rw,eh,,,,,,,,,,
5,rw,rw,,,,,,,,,,
6,to,eh to,,,,,,,,,,
7,to,rw,,,,,,,,,,
8,df,df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,14,1,,,,,,,,,,
1,8.6,1,,,,,,,,,,
1,11.4,1,,,,,,,,,,
1,9.2,1,,,,,,,,,,
1,8.7,1,,,,,,,,,,
2,11.2,1,,,,,,,,,,
2,11.5,1,,,,,,,,,,
2,8.4,1,,,,,,,,,,
2,26,3,,,,,,,,,,
3,14,3,,,,,,,,,,
3,16,3,,,,,,,,,,
3,16,1,,,,,,,,,,
3,18,4,,,,,,,,,,
4,30,3,,,,,,,,,,
4,20,4,,,,,,,,,,
5,20,1,,,,,,,,,,
5,17,1,,,,,,,,,,
5,13,1,,,,,,,,,,
5,13,1,,,,,,,,,,
5,8.6,1,,,,,,,,,,
5,38,2,,,,,,,,,,
6,30,4,,,,,,,,,,
6,10,3,,,,,,,,,,
8,19,3,,,,,,,,,,
8,15.7,3,,,,,,,,,,
