#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
camp6,hd,1/12/2024,1,2,4,10,8,Rain 1/10/24; Dry 1/12/24,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,w,42,ac,ac,15,5,9,1229,,,,
2,w,135,ac,ac,35,5,9,1321,,,,
3,e,315,ac,zj,21,5,9,1012,,,,
4,e,225,ac,zj,16,5,9,1020,,,,
5,s,315,ac,zj,29,5,9,1110,,,,
6,s,45,ac,zj,9,5,9,1106,,,,
7,n,135,zj,ac,12,5,9,1147,,,,
8,n,225,zj,ac,9,5,9,1138,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
1,38,3,4,8,90,16,19,90,24,,,
2,34,6,4,10,95,16,10,70,23,,,
3,14,4,1,5,90,21,7,95,20,,,
4,40,9,1,8,95,13,14,95,29,,,
5,16,3,1,1,100,10,10,95,14,,,
6,7,2,1,3,100,3,5,95,7,,,
7,5,0,1,12,90,19,11,90,14,,,
8,15,2,0,4,95,11,6,95,13,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,30,0.5,0.8,3,0.5,0.2,20,0,0.8,0.5,0.5,0.2
2,0.5,0,0.7,20,0,0.2,10,0,0.5,0.5,0,0.2
3,20,0.5,0.5,0.5,0,0.1,20,0,0.4,0.5,0,0.1
4,10,0,0.4,3,0,0.2,20,0,0.5,10,0,0.2
5,0.5,0,0.2,0.5,0,0.1,3,0,0.4,0.5,0,0.1
6,40,3,3.6,0.5,0,0.6,0.5,0,0.2,0,0,0
7,3,0,0.4,3,0,0.3,10,0.5,2,3,0.5,0.6
8,3,0,0.5,10,0.5,0.3,3,0,1.1,10,0.5,0.3
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,rw,,,,,,,,,,
2,to,to,,,,,,,,,,
3,to,eh,,,,,,,,,,
4,eh,eh,,,,,,,,,,
5,df,eh,,,,,,,,,,
6,rw,to,,,,,,,,,,
7,to,rw,,,,,,,,,,
8,eh,df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
2,65,4,,,,,,,,,,
3,15,5,,,,,,,,,,
3,16,5,,,,,,,,,,
7,36,5,,,,,,,,,,
7,12.9,3,,,,,,,,,,
7,18,3,,,,,,,,,,
7,25,3,,,,,,,,,,
