#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
camp6,ld,1/11/2024,1,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,w,135,zj,zj,8,5,9,1319,,,,
2,w,45,zj,zj,2,5,9,1256,,,,
3,n,225,ac,zj,42,5,9,1355,,,,
4,n,135,ac,zj,16,5,9,1402,,,,
5,e,315,ac,zj,32,5,9,1433,,,,
6,e,225,ac,zj,19,5,9,1440,,,,
7,s,45,ac,zj,10,5,9,1511,,,,
8,s,315,ac,zj,18,5,9,1522,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,19,8,1,13,90,30,9,90,15,,,
2,4,6,9,4,90,15,6,100,20,,,
3,17,9,1,4,100,13,10,95,18,,,
4,65,8,2,14,95,19,10,95,15,,,
5,21,4,2,7,100,14,8,95,12,,,
6,9,3,0,12,90,15,8,95,9,,,
7,28,7,2,14,95,14,13,90,18,,,
8,14,7,2,1,100,4,15,85,19,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,10,0,0.3,0.5,0,0.4,10,0,0.3,0.5,0.5,0.2
2,3,0,0.3,0.5,0,0.2,10,0,0.7,0.5,0,0.3
3,20,0,0.3,10,3,0.3,10,0.5,0.3,0.5,0,0.1
4,10,0,0.6,0.5,0,0.2,3,0,0.3,0,0,0
5,10,0.5,0.3,3,0.5,0.4,3,0.5,0.3,0,0,0
6,3,0,0.3,0,0,0,0.5,0,0.4,20,3,0.5
7,20,0,0.3,0,0,0,20,0,0.4,3,0,0.1
8,0.5,0,0.4,20,3,0.3,3,0,0.3,3,0.5,0.4
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to eh,df,,,,,,,,,,
2,eh,df eh,,,,,,,,,,
3,eh,to eh,,,,,,,,,,
4,to,eh,,,,,,,,,,
5,to,to eh,,,,,,,,,,
6,to,to eh,,,,,,,,,,
7,to,eh,,,,,,,,,,
8,df,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
2,15,2,,,,,,,,,,
2,9,4,,,,,,,,,,
1,12,4,,,,,,,,,,
1,8,3,,,,,,,,,,
1,15,3,,,,,,,,,,
3,15,2,,,,,,,,,,
4,15,2,,,,,,,,,,
5,12,4,,,,,,,,,,
5,11,3,,,,,,,,,,
6,25,5,,,,,,,,,,
6,24,5,,,,,,,,,,
6,31,5,,,,,,,,,,
6,30,4,,,,,,,,,,
5,10,5,,,,,,,,,,
6,20,5,,,,,,,,,,
7,15,3,,,,,,,,,,
7,19,3,,,,,,,,,,
8,7.5,2,,,,,,,,,,
