#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldon,gs,1/4/2024,1,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,n,262,jf,jf,14,5,9,1329,Offset see 2023 measurements. Difficult to count due to redwood slash,,,
2,n,135,jf,jf,2,5,9,1334,,,,
3,e,315,jf,jf,5,5,9,1408,"9m veg plot: dead/cut pampas grass. Could not locate pinflag, measured from center.",,,
4,e,225,jf,jf,39,5,9,1424,"Could not locate pinflag, measured from center.",,,
5,s,45,jf,jf,11,5,9,1453,,,,
6,s,315,jf,jf,11,5,9,1515,,,,
7,w,135,jf,jf,17,5,9,1541,"1 hr fuels low due to stump. Could not locate pinflag, measured from center.",,,
8,w,45,jf,jf,7,5,9,1559,"Could not locate pinflag, measured from center.",,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
1,62,56,6,55,90,55,15,90,19,,,
2,31,31,9,18,60,30,24,90,35,,,
3,33,12,8,40,90,40,40,75,50,,,
4,28,20,9,48,90,50,35,80,40,,,
5,32,25,6,24,100,24,35,75,40,,,
6,44,30,4,25,90,30,35,90,40,,,
7,8,11,9,30,50,25,55,100,55,,,
8,71,31,5,55,100,60,55,100,55,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,20,3,1.3,0,0,0,30,0,1.5
3,0,0,0,0,0,0,10,0,0.1,0,0,0
4,0,0,0,3,0,2.7,0,0,0,10,0,3.5
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,20,0,3.2,0,0,0,0,0,0
8,0,0,0,0.5,0,1,0,0,0,0.5,0,1.8
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
1,-,-,,,,,,,,,,
2,rw,rw,,,,,,,,,,
3,-,-,,,,,,,,,,
4,df,rw,,,,,,,,,,
5,-,-,,,,,,,,,,
6,-,-,,,,,,,,,,
7,df,-,,,,,,,,,,
8,rw,rw,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,7.5,1,,,,,,,,,,
1,24,4,,,,,,,,,,
1,57,4,,,,,,,,,,
1,8.3,4,,,,,,,,,,
2,7,5,,,,,,,,,,
2,13,5,,,,,,,,,,
3,24,4,,,,,,,,,,
3,28,5,,,,,,,,,,
3,12,3,,,,,,,,,,
3,12,3,,,,,,,,,,
4,34,2,,,,,,,,,,
4,34,2,,,,,,,,,,
5,10.5,5,,,,,,,,,,
5,22,5,,,,,,,,,,
6,18,3,,,,,,,,,,
6,8.5,1,,,,,,,,,,
6,15,5,,,,,,,,,,
6,42,4,,,,,,,,,,
6,19,3,,,,,,,,,,
6,9,1,,,,,,,,,,
7,34,3,,,,,,,,,,
7,8.5,1,,,,,,,,,,
7,9.5,2,,,,,,,,,,
8,12,5,,,,,,,,,,
