#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldon,ha,1/4/2024,1,2,4,10,8,"Whiskey Springs FBD Measured from top of litter. From here, FBD measured from top of duff. Duff is dark in color, in some state of broken down litter depth measure includes slash, because leaves are suspended. FBD does not include live.",postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,ne,290,AC,AC,11,5,9,,,,,
2,ne,180,AC,AC,46,5,9,,,,,
3,se,0,AC,AC,14,5,9,,,,,
4,se,270,AC,AC,71,5,9,,,,,
5,sw,35,AC,AC,42,5,9,,,,,
6,sw,90,AC,AC,31,5,9,1100,,,,
7,nw,90,AC,AC,38,5,9,1152,Tanoak slash,,,
8,nw,180,AC,AC,32,5,9,1153,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
1,25,13,5,16,75,16,13,90,14,,,
2,34,10,4,14,95,27,13,80,40,,,
3,25,9,5,12,50,30,13,90,30,,,
4,35,10,4,9,80,40,11,60,19,,,
5,29,8,6,9,40,19,4,95,30,,,
6,19,3,9,5,95,5,8,80,8,,,
7,13,5,2,7,100,28,30,99,30,,,
8,16,7,6,14,95,19,15,80,16,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
1,0.5,0,0.2,10,0,1.1,3,0,0.4,10,0,0.6
2,0.5,0,0.1,3,0,0.7,3,0.5,0.4,10,0,0.6
3,0,0,0,10,0,0.7,3,0,0.4,0.5,0,0.1
4,0.5,0,0.4,0.5,0,0.3,0.5,0,0.4,0.5,0,2
5,3,0,0.2,20,0,0.7,0.5,0,0.1,0.5,0,0.6
6,10,0.5,0.7,3,0,1.3,0.5,0,0.1,3,0.5,0.6
7,0,0,0,30,3,1.6,0,0,0,10,0,0.5
8,3,0,0.1,10,0,1.3,0.5,0,0.1,10,0,0.6
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
1,rw,to,,,,,,,,,,
2,to,to,,,,,,,,,,
3,to,to,,,,,,,,,,
4,to,to,,,,,,,,,,
5,to,rw,,,,,,,,,,
6,to,to,,,,,,,,,,
7,rw,to,,,,,,,,,,
8,df  to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,7.5,3,,,,,,,,,,
2,8,5,,,,,,,,,,
3,17,2,,,,,,,,,,
3,12.3,3,,,,,,,,,,
4,8.5,3,,,,,,,,,,
5,12,5,,,,,,,,,,
7,11,2,,,,,,,,,,
