#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldon,hd,1/5/2024,1,2,4,10,8,"Litter depth measured to height of leaves attached to slash, if presenet for all plots.",postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,ne,80,AC,jf,16,5,9,827,,,,
2,ne,270,AC,jf,30,5,9,1133,,,,
3,nw,90,AC,jf,37,5,9,917,,,,
4,nw,180,AC,jf,47,5,9,920,,,,
5,sw,90,AC,jf,52,5,9,1002,,,,
6,sw,0,AC,jf,19,5,9,1012,,,,
7,se,270,AC,jf,55,5,9,1032,,,,
8,se,0,AC,jf,21,5,9,1043,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
1,23,5,2,26,100,26,32,90,30,,,
2,54,12,0,41,95,41,5,60,31,,,
3,29,13,3,22,90,33,15,100,29,,,
4,26,6,4,6,95,14,40,90,40,,,
5,24,3,7,14,90,32,30,95,37,,,
6,34,4,5,9,90,49,24,95,54,,,
7,52,8,1,25,95,32,14,100,26,,,
8,29,6,6,11,95,16,5,80,9,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
1,0,0,0,0.5,0,0.2,0,0,0,3,0,0.3
2,0,0,0,3,0,0.6,0,0,0,30,0,0.5
3,0,0,0,10,0,0.6,0,0,0,3,0,0.5
4,3,0,0.1,3,0,0.6,0,0,0,20,0,0.5
5,0,0,0,0.5,0,1,0,0,0,3,0,0.9
6,0,0,0,3,0,0.9,0,0,0,20,0,0.9
7,0.5,0,0.1,0,0,0,0,0,0,0.5,0,0.8
8,0,0,0,0.5,0,0.3,0,0,0,0.5,0,0.1
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
1,to,to,,,,,,,,,,
2,to,eh,,,,,,,,,,
3,to,to,,,,,,,,,,
4,to,to,,,,,,,,,,
5,to,to,,,,,,,,,,
6,to,to,,,,,,,,,,
7,-,to,,,,,,,,,,
8,to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,11,3,,,,,,,,,,
1,17,4,,,,,,,,,,
1,37,4,,,,,,,,,,
2,9.6,2,,,,,,,,,,
2,13,3,,,,,,,,,,
4,11.8,3,,,,,,,,,,
4,45,3,,,,,,,,,,
6,30,5,,,,,,,,,,
6,54,5,,,,,,,,,,
8,14,4,,,,,,,,,,
