#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldos,gs,1/6/2024,1,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,sw,0,ac,ac,38,5,9,755,,,,
2,sw,90,ac,ac,55,5,9,815,,,,
3,nw,180,ac,ac,59,5,9,843,,,,
4,nw,90,ac,ac,14,5,9,900,,,,
5,ne,270,ac,ac,90,5,9,1002,Replaced pin flag,,,
6,ne,168,ac,ac,23,5,9,953,Replaced pin flag,,,
7,se,0,ac,ac,51,5,9,1057,Bare spot in sword fern - missing azi - best guess,,,
8,se,270,ac,ac,67,5,9,1118,logs rolling down hill - missing azi - best guess,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,47,13,7,45,95,43,17,100,27,,,
2,40,29,6,10,100,20,44,90,40,,,
3,38,18,5,12,90,20,24,95,32,,,
4,39,17,5,15,95,39,49,95,46,,,
5,51,26,9,25,80,30,24,90,25,,,
6,43,28,88,50,95,50,60,95,60,,,
7,8,8,5,58,95,77,7,100,10,,,
8,13,9,11,45,95,60,18,85,30,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,20,0.5,1.4,0.5,0,0.1,3,0,0.6,0,0,0
2,3,0,0.5,0.5,0,0.3,30,0.5,1.5,0,0,0
3,0,0,0,30,3,0.6,3,0,0.7,20,0.5,0.4
4,0.5,0,0.7,10,0,0.2,10,0,0.9,3,0,0.4
5,3,3,1.3,0,0,0,0.5,3,1.4,0,0,0
6,40,0.5,0.9,3,0,0.3,3,0,0.5,0.5,0,0.2
7,0,0,0,40,20,0.7,0.5,0,0.3,60,10,0.7
8,0,0,0,20,0.5,0.8,3,0,1,30,10,0.5
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,to,,,,,,,,,,
2,to,rw,,,,,,,,,,
3,,to,,,,,,,,,,
4,rw,to,,,,,,,,,,
5,rw,rw,,,,,,,,,,
6,to,to,,,,,,,,,,
7,,to,,,,,,,,,,
8,,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,9.4,2,,,,,,,,,,
2,17,3,,,,,,,,,,
2,46,3,,,,,,,,,,
3,17,3,,,,,,,,,,
4,24,5,,,,,,,,,,
4,22,4,,,,,,,,,,
4,22,3,,,,,,,,,,
4,12,2,,,,,,,,,,
4,13.8,2,,,,,,,,,,
4,11,2,,,,,,,,,,
5,10,1,,,,,,,,,,
5,11,1,,,,,,,,,,
5,11,1,,,,,,,,,,
5,15,2,,,,,,,,,,
6,26,3,,,,,,,,,,
6,17.3,4,,,,,,,,,,
6,11,1,,,,,,,,,,
6,15,3,,,,,,,,,,
7,15,4,,,,,,,,,,
7,20,5,,,,,,,,,,
8,11,3,,,,,,,,,,
8,19,3,,,,,,,,,,
8,10,5,,,,,,,,,,
8,20,5,,,,,,,,,,
8,11.5,3,,,,,,,,,,
8,29,3,,,,,,,,,,
