#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldos,ha,1/7/2024,1,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,sw,0,jf,jf,25,5,9,1314,,,,
2,sw,90,jf,jf,11,5,9,1327,,,,
3,se,0,jf,jf,51,5,9,1351,,,,
4,se,270,jf,jf,18,5,9,1400,,,,
5,ne,270,jf,jf,0,5,9,1422,,,,
6,ne,178,jf,jf,70,5,9,1438,Azimuth deflected due to redwood to 178 degrees; first 2m disturbed,,,
7,nw,180,jf,jf,52,5,9,1528,,,,
8,nw,90,jf,jf,35,5,9,1541,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,12,11,3,15,90,18,20,80,25,,,
2,17,10,3,38,95,38,15,100,18,,,
3,8,0,2,12,100,15,12,100,12,,,
4,10,3,4,15,90,18,12,90,15,,,
5,2,5,3,25,100,40,12,100,12,,,
6,2,2,0,6,100,6,6,80,6,,,
7,2,8,6,40,100,40,15,100,20,,,
8,13,17,6,6,70,10,24,50,40,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,20,0,0.5,0,0,0,10,0,0.4,0,0,0
2,0,0,0,0.5,0,0.3,10,0,0.4,0,0,0
3,0.5,0,1,0.5,0,0.1,0.5,0,0.4,30,0.5,0.3
4,40,0.5,5.7,0.5,0,0.5,5,0,0.3,0,0,0
5,0,0,0,10,0.5,0.4,0,0,0,20,3,0.3
6,0.5,0,0.4,10,0.5,0.4,0,0,0,0,0,0
7,0,0,0,3,0,0.4,20,0,0.5,0,0,0
8,40,0.5,4,3,0.5,0.5,20,0,1.2,3,0,1
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,to,,,,,,,,,,
2,,to,,,,,,,,,,
3,to,rw,,,,,,,,,,
4,rw,rw,,,,,,,,,,
5,,,,,,,,,,,,
6,to,,,,,,,,,,,
7,,rw,,,,,,,,,,
8,rw,rw,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,17,3,,,,,,,,,,
1,26,5,,,,,,,,,,
1,13,5,,,,,,,,,,
2,12,3,,,,,,,,,,
2,12,5,,,,,,,,,,
4,12,3,,,,,,,,,,
5,15,4,,,,,,,,,,
5,15,4,,,,,,,,,,
5,11,3,,,,,,,,,,
5,15,3,,,,,,,,,,
6,10,3,,,,,,,,,,
6,16,3,,,,,,,,,,
8,20,4,,,,,,,,,,
8,22,3,,,,,,,,,,
8,14,3,,,,,,,,,,
8,12,5,,,,,,,,,,
8,88,3,,,,,,,,,,
