#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
waldos,ld,1/6/2024,1,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,timestamp,notes,,,
1,se,270,jf,jf,4,5,9,1302,,,,
2,se,0,jf,jf,76,5,9,1321,,,,
3,ne,270,jf,jf,18,5,9,1343,Mostly fern,,,
4,ne,180,jf,jf,101,5,9,1402,,,,
5,nw,180,jf,jf,43,5,9,1432,,,,
6,nw,90,jf,jf,70,5,9,1444,,,,
7,sw,0,jf,jf,55,5,9,1503,,,,
8,sw,90,jf,jf,3,5,9,1516,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,40,21,5,17,95,25,35,95,35,,,
2,10,5,2,24,100,35,18,95,18,,,
3,4,1,1,15,100,15,8,50,10,,,
4,4,2,1,13,95,15,4,100,10,,,
5,41,7,3,6,50,10,35,90,35,,,
6,0,1,2,35,95,35,6,60,6,,,
7,22,15,4,25,100,35,35,95,35,,,
8,1,8,5,9,100,9,5,50,5,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,3,0,0.4,0.5,0,0.2,20,0,1.4,0.5,0,0.1
2,10,0,0.6,10,0,0.2,0,0,0,20,3,0.4
3,3,0,0.8,20,3,0.4,0.5,0,0.8,40,20,0.5
4,3,0,0.5,10,0,0.5,40,0,0.8,0.5,0,0.3
5,3,0,1,10,0.5,0.6,20,3,1.3,3,0,0.1
6,0,0,0,20,10,0.7,0,0,0,20,10,0.4
7,10,0,2.3,10,3,0.6,0.5,0,0.9,3,3,0.4
8,0,0,0,3,3,0.3,0,0,0,10,0.5,0.4
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,rw to,,,,,,,,,,
2,to,to,,,,,,,,,,
3,to,rw to,,,,,,,,,,
4,to,rw to,,,,,,,,,,
5,df,rw to,,,,,,,,,,
6,,,,,,,,,,,,
7,rw,to,,,,,,,,,,
8,,,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,14,1,,,,,,,,,,
1,11,4,,,,,,,,,,
1,8,1,,,,,,,,,,
2,25,5,,,,,,,,,,
3,9,2,,,,,,,,,,
3,13,5,,,,,,,,,,
3,19,4,,,,,,,,,,
3,22,4,,,,,,,,,,
5,15,5,,,,,,,,,,
7,10,3,,,,,,,,,,
8,8,4,,,,,,,,,,
8,8,1,,,,,,,,,,
8,17,4,,,,,,,,,,
