#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
whiskey,gs,9/15/2023,2,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,s,45,jw,jd,59,5,9,Slash pile @ 5 M,,,,
2,s,315,ac,ac,17,5,9,,,,,
3,w,45,jw,jd,2,5,9,,,,,
4,w,135,ac,ac,72,5,9,,,,,
5,n,135,ac,ac,21,5,9,,,,,
6,n,225,jd,jd,40,5,9,,,,,
7,e,225,jd,jd,50,5,9,,,,,
8,e,315,ac,ac,13,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,284,24,10,1,100,10,4,80,40,,,
2,83,21,4,6.5,70,40,5.5,80,28,,,
3,92,44,7,6,50,27,6.5,90,70,,,
4,47,14,5,26,90,50,10,50,37,,,
5,87,17,7,44.5,90,70,16,80,17.5,,,
6,47,17,5,10,90,60,2,100,14,,,
7,82,11,1,19.5,80,30,5,100,31,,,
8,144,17,4,8.5,70,21,1,100,35,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,5,1,0,20,3,0.7,10,0,1,3,0,0.3
2,10,0,1.8,20,3,0.4,30,0,1.8,3,1,0.5
3,20,0,1.5,5,1,0.3,5,0,0.9,5,1,0.1
4,10,0,1.4,5,0,0.2,50,3,1.2,0,0,0
5,10,0.5,1.4,0,0,0,5,0,1.2,10,1,0.7
6,3,5,1.7,1,0,0.1,20,3,1.4,5,0,0.3
7,5,1,0.6,20,1,0.1,10,1,1.7,5,0,0.1
8,60,10,1.8,5,0,0.4,5,0.5,1.1,5,0.5,0.6
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,md,to,,,,,,,,,,
2,rw,rw,,,,,,,,,,
3,rw,eh to,,,,,,,,,,
4,to,rw,,,,,,,,,,
5,to,to,,,,,,,,,,
6,rw,rw,,,,,,,,,,
7,to,rw,,,,,,,,,,
8,rw,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
3,8.5,2,,,,,,,,,,
3,9.5,2,,,,,,,,,,
3,10,2,,,,,,,,,,
3,8.6,3,,,,,,,,,,
3,16,3,,,,,,,,,,
3,14,3,,,,,,,,,,
3,8.9,2,,,,,,,,,,
4,11.5,2,,,,,,,,,,
4,12,3,,,,,,,,,,
5,26,4,,,,,,,,,,
6,12.1,2,,,,,,,,,,
6,8.9,2,,,,,,,,,,
8,17,3,,,,,,,,,,
