#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
whiskey,ha,9/15/2023,2,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,s,315,ac,ac,8,5,9,,,,,
2,s,45,ac,ac,61,5,9,,,,,
3,w,45,jw,jw,52,5,9,,,,,
4,w,135,jw,jw,4,5,9,,,,,
5,n,135,ac,ac,47,5,9,,,,,
6,n,225,ac,ac,21,5,9,,,,,
7,e,225,jw,jw,59,5,9,,,,,
8,e,315,jw,jw,7,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,44,3,2,8,90,15,3,60,6,,,
2,36,5,5,5,1,29,8,10,15,,,
3,33,17,10,11,80,61,4.5,90,45,,,
4,27,3,3,1,100,3,1.5,95,4,,,
5,48,17,9,8,80,69,6,50,22,,,
6,87,15,9,2,90,28,8,70,11,,,
7,55,6,6,16,50,38,2,60,30,,,
8,53,18,17,1,90,20,1,100,15,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,0,0,0,20,1,0.1,1,0,0.85,50,5,0.1
2,20,3,1.2,1,0,0.1,20,3,1.1,5,0.5,0.2
3,30,3,1.8,20,0,0.9,20,1,0.7,10,1,1.5
4,5,0,0.4,50,10,0.3,10,1,0.9,3,0,0.2
5,3,0.5,1.1,40,5,0.4,30,3,1.1,20,1,0.2
6,20,5,1.3,5,0.5,0.5,10,0,7.1,20,0.5,0.5
7,10,1,1.2,20,3,0.5,20,20,2,20,1,0.6
8,30,1,1.4,20,3,0.2,30,3,1.6,20,1,0.1
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,,rw,,,,,,,,,,
2,to,to,,,,,,,,,,
3,rw,rw,,,,,,,,,,
4,df to,md,,,,,,,,,,
5,rw,to,,,,,,,,,,
6,rw,rw,,,,,,,,,,
7,to,rw,,,,,,,,,,
8,to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
2,8.7,5,,,,,,,,,,
3,16,3,,,,,,,,,,
4,11,3,,,,,,,,,,
4,18,4,,,,,,,,,,
4,15,4,,,,,,,,,,
4,13,4,,,,,,,,,,
4,20.5,4,,,,,,,,,,
4,24,3,,,,,,,,,,
5,12.2,3,,,,,,,,,,
5,8.8,3,,,,,,,,,,
6,17,2,,,,,,,,,,
6,16,2,,,,,,,,,,
7,11.3,4,,,,,,,,,,
7,38,4,,,,,,,,,,
7,60,3,,,,,,,,,,
7,40,5,,,,,,,,,,
8,10.2,4,,,,,,,,,,
8,34,4,,,,,,,,,,
