#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
whiskey,hd,9/16/2023,2,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,w,45,ac,ac,39,5,9,,,,,
2,w,135,ac,ac,18,5,9,,,,,
3,n,135,jw,jw,8,5,9,,,,,
4,n,225,jw,jw,42,5,9,,,,,
5,e,225,ac,ac,15,5,9,,,,,
6,e,315,ac,ac,7,5,9,,,,,
7,s,315,jw,jw,20,5,9,,,,,
8,s,36,jw,jw,26,5,9,Transect offset to 36 degrees because line runs through tree# 818,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,80,5,3,18,30,20,12,80,14,,,
2,76,6,1,11,20,15,18,90,26,,,
3,52,24,7,18,90,45,3,95,61,,,
4,72,17,3,2,100,31,20,70,30,,,
5,79,3,3,15,20,29,8.5,10,35,,,
6,54,3,1,4,90,14,8,50,23,,,
7,68,22,5,22,15,30,9,75,18,,,
8,148,11,8,2,90,5,7.5,10,10,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,0,0,0,3,0,0.2,30,1,1.2,40,3,0.1
2,70,3,1.8,1,0,0.1,10,0.5,1,3,0,0.1
3,3,1,0.5,10,1,0.5,3,1,0.6,30,5,0.3
4,30,10,1.4,3,0,0.2,20,1,1,3,0,0.3
5,20,0.5,0.9,0.5,0,0.1,10,0.5,0.7,1,0,0.1
6,20,0.5,1.4,0,0,0,60,1,1.1,20,3,0.1
7,20,1,1.6,5,1,0.1,10,0,0.7,5,0,0.1
8,5,1,0.6,1,0,0.1,3,0,0.5,5,1,0.3
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,,rw,,,,,,,,,,
2,rw,to,,,,,,,,,,
3,to,md to,,,,,,,,,,
4,rw,to,,,,,,,,,,
5,to,rw,,,,,,,,,,
6,to,rw,,,,,,,,,,
7,rw,to,,,,,,,,,,
8,to,df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,19,3,,,,,,,,,,
1,14,3,,,,,,,,,,
2,48,5,,,,,,,,,,
4,10.9,5,,,,,,,,,,
4,10.8,3,,,,,,,,,,
4,26,3,,,,,,,,,,
5,20,4,,,,,,,,,,
5,34,3,,,,,,,,,,
5,17,3,,,,,,,,,,
5,8.5,3,,,,,,,,,,
5,18,4,,,,,,,,,,
5,16,4,,,,,,,,,,
5,14.9,3,,,,,,,,,,
5,11.2,4,,,,,,,,,,
5,11.4,3,,,,,,,,,,
5,9.7,3,,,,,,,,,,
5,16.9,4,,,,,,,,,,
5,10.6,4,,,,,,,,,,
6,23,3,,,,,,,,,,
6,13.6,3,,,,,,,,,,
6,15.4,3,,,,,,,,,,
6,12,4,,,,,,,,,,
6,10.8,5,,,,,,,,,,
7,26,4,,,,,,,,,,
7,33.2,5,,,,,,,,,,
7,17,3,,,,,,,,,,
8,17.2,4,,,,,,,,,,
