#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,phase,,,
whiskey,ld,9/16/2023,2,2,4,10,8,,postpct,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,timestamp,,,
1,w,45,ac,ac,41,5,9,5m in slash pile large amount of duff/litter accumulated,,,,
2,w,135,ac,ac,9,5,9,,,,,
3,n,135,jw,jw,15,5,9,half meter of 1s/10s crosses stump,,,,
4,n,225,jw,jw,28,5,9,,,,,
5,e,225,ac,ac,37,5,9,,,,,
6,e,315,ac,ac,14,5,9,,,,,
7,s,315,jw,jw,2,5,9,,,,,
8,s,45,jw,jw,49,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,147,28,23,28,20,801,14,25,35,,,
2,73,20,9,16,25,40,23,15,37,,,
3,65,16,8,5,80,68,8,70,26,,,
4,38,9,4,7,30,20,3,100,28,,,
5,125,28,12,13.5,40,37,10,90,20,,,
6,92,29,12,11,15,37,8,50,38,,,
7,77,28,8,15,70,90,13,40,28,,,
8,80,13,6,10,10,18,16,40,28,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,5,1,1.3,3,0,0.5,10,1,1.4,20,0,0.7
2,3,0,0.6,40,1,0.2,1,0,0.2,20,1,0.1
3,5,0,0.9,5,0,0.1,30,5,1.6,10,0,0.3
4,50,1,1.7,10,0,0.2,5,0.5,0.9,20,3,0.2
5,5,1,0.7,20,3,0.7,3,10,1.7,5,1,0.7
6,5,0,1,50,0,0.1,20,3,0.8,1,0,0.1
7,30,5,1.4,5,0,0.4,10,0,1.9,30,5,0.8
8,50,1,1.3,5,0,0.2,5,0,1.6,20,1,0.3
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,rw,,,,,,,,,,
2,to,to,,,,,,,,,,
3,to,to,,,,,,,,,,
4,tO,to,,,,,,,,,,
5,to,rw,,,,,,,,,,
6,rw,to,,,,,,,,,,
7,rw,rw,,,,,,,,,,
8,rw,rw,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,50,5,,,,,,,,,,
1,12.5,3,,,,,,,,,,
1,27,4,,,,,,,,,,
1,11.3,3,,,,,,,,,,
1,45,4,,,,,,,,,,
1,11.5,2,,,,,,,,,,
2,7.6,4,,,,,,,,,,
2,22,3,,,,,,,,,,
2,14,4,,,,,,,,,,
2,7.6,3,,,,,,,,,,
2,38,4,,,,,,,,,,
3,13.3,2,,,,,,,,,,
3,15,3,,,,,,,,,,
3,8,3,,,,,,,,,,
3,9.7,3,,,,,,,,,,
3,10,3,,,,,,,,,,
4,14.4,4,,,,,,,,,,
4,13,4,,,,,,,,,,
4,9.4,2,,,,,,,,,,
4,11.3,3,,,,,,,,,,
5,19.2,4,,,,,,,,,,
6,14,3,,,,,,,,,,
6,12,3,,,,,,,,,,
6,16,3,,,,,,,,,,
6,12,3,,,,,,,,,,
7,15.4,3,,,,,,,,,,
7,16.6,3,,,,,,,,,,
7,15.4,4,,,,,,,,,,
7,8.9,2,,,,,,,,,,
8,20,3,,,,,,,,,,
8,15,4,,,,,,,,,,
8,28,3,,,,,,,,,,
8,10,3,,,,,,,,,,
8,10.8,3,,,,,,,,,,
