#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
camp6,gs,04/09/2023,2,2,4,10,8,welcome to the jungle,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,s,315,jd,ac,4,5,9,,,,,
2,s,45,jd,ac,11,5,9,,,,,
3,w,45,jd,ac,2,5,9,,,,,
4,w,135,jd,ac,17,5,9,,,,,
5,n,135,jd,ac,2,5,9,,,,,
6,n,225,jd,ac,4,5,9,,,,,
7,e,225,jd,ac,72,5,9,,,,,
8,e,315,jd,ac,1,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,18,8,2,1,100,6,4,100,8,,,
2,9,9,6,3,80,8,3,90,9,,,
3,12,1,2,1,100,3,11,80,11,,,
5,19,14,3,4,20,10,8,20,4,,,
4,69,11,2,9,10,5,8,10,3,,,
6,5,6,4,5,100,2,1,100,5,,,
7,45,8,8,5,20,8,4,30,5,,,
8,24,10,3,5,10,5,4,20,12,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,20,0.5,1.9,0,0,,20,0.5,1.2,0.5,0,0.1
2,10,0,1.5,0,0,,0,20,2,0,0,
4,40,0.5,1.9,0,0,,30,20,1.8,0.5,0,0.2
3,30,0.5,1.9,0,0,,0,30,1.9,0,0,
5,0,30,1.8,0.5,0,0.1,5,30,1.9,0,0,
6,0.5,20,1.8,30,0.5,0.2,70,0.5,1.5,5,0,0.2
7,5,20,1.8,0,0,,20,0.5,1.9,0.5,0,0.1
8,0.5,5,2,0.5,0,0.4,20,0,1.4,30,10,1.3
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,to,,,,,,,,,,
2,rw,rw,,,,,,,,,,
4,rw,rw,,,,,,,,,,
3,to,rw,,,,,,,,,,
5,cn,cn,,,,,,,,,,
6,cn,hb,,,,,,,,,,
7,cn,to,,,,,,,,,,
8,cn,df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,11.8,4,,,,,,,,,,
1,10.7,5,,,,,,,,,,
1,10.2,3,,,,,,,,,,
1,10.1,3,,,,,,,,,,
1,9.3,3,,,,,,,,,,
4,13.2,3,,,,,,,,,,
4,18.2,3,,,,,,,,,,
4,19.4,3,,,,,,,,,,
4,20.6,4,,,,,,,,,,
6,26,3,,,,,,,,,,
5,14.7,4,,,,,,,,,,
5,15.6,3,,,,,,,,,,
5,17.5,3,,,,,,,,,,
8,15,3,,,,,,,,,,
8,13.2,3,,,,,,,,,,
8,13,3,,,,,,,,,,
8,20,3,,,,,,,,,,
7,9.2,3,,,,,,,,,,
8,14.5,3,,,,,,,,,,
8,8.5,5,,,,,,,,,,
7,9.4,3,,,,,,,,,,
8,8.8,3,,,,,,,,,,
