#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
camp6,hd,4/9/2023,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,s,45,am,jf,24,5,9,perced fuels at 5 m,,,,
2,s,315,am,jf,31,5,9,,,,,
3,w,135,am,jf,36,5,9,large log covers half of plot at 5 m,,,,
4,w,48,am,jf,14,5,9,perced fuels at 5 m,,,,
5,n,225,am,jf,9,5,9,,,,,
6,n,135,am,jf,10,5,9,,,,,
7,e,45,am,jf,24,5,9,perced fuels at 5 and 9 m,,,,
8,e,15,am,jf,14,5,9,perced fuels at 9 m,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,51,3,0,7,10,20,3.5,20,1,,,
2,33,6,2,1,40,2,1.5,60,1,,,
3,24,5,2,13,10,40,1,0,2,,,
4,31,3,3,2,20,3,2,30,2,,,
5,30,4,2,4,80,5,3,10,2,,,
6,46,12,3,7,50,6,11,70,10,,,
7,31,6,2,5,15,15,4,40,12,,,
8,19,4,0,5,30,10,2,20,5,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,50,3,2.2,0,0,,20,0,2.2,3,0.5,0.2
2,0.5,0,0.4,0.5,0.5,0.2,10,0.5,1.2,0,0,
3,20,10,3.5,10,3,0.3,20,0,1.4,20,3,0.4
4,20,10,1.6,20,10,0.4,30,0,1.2,10,3,0.4
5,30,0,1.1,3,3,0.3,10,0,0.8,20,10,0.3
6,10,0.5,0.9,10,3,0.4,20,0.5,1.2,20,10,0.6
7,50,0.5,1.5,0,0,,30,0,1.3,0,0,
8,40,0.5,2.5,3,3,0.5,50,0,1.3,3,3,0
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to rw df,to rw,,,,,,,,,,
2,df,cn eh,,,,,,,,,,
3,cn,to,,,,,,,,,,
4,rw,df,,,,,,,,,,
5,eh to df,df eh,,,,,,,,,,
6,to,rw df,,,,,,,,,,
7,eh to,eh to,,,,,,,,,,
8,eh cn,eh df,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
3,60,4,,,,,,,,,,
4,19,3,,,,,,,,,,
4,18,3,,,,,,,,,,
6,13,4,,,,,,,,,,
6,10,3,,,,,,,,,,
8,12,3,,,,,,,,,,
8,20,3,,,,,,,,,,
8,24,5,,,,,,,,,,
