#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
camp6,ld,4/9/2023,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,s,315,ac,jw,11,5,9,,,,,
2,s,45,ac,jw,11,5,9,,,,,
3,w,45,ac,jw,11,5,9,,,,,
4,w,135,ac,jw,11,5,9,,,,,
5,n,135,ac,jw,11,5,9,,,,,
6,n,225,ac,jw,11,5,9,,,,,
7,e,225,ac,jw,11,5,9,,,,,
8,e,315,ac,jw,11,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,25,2,0,5,90,5.9,3,40,4.4,,,
2,21,6,6,6,30,12,2.5,40,6.5,,,
3,74,12,2,1,100,2.3,3,30,12.8,,,
4,20,7,3,4,30,5.3,6,40,13,,,
5,35,2,6,8,10,2.9,6,50,4.3,,,
6,15,6,3,7,10,11,2,90,8.3,,,
7,21,2,4,8,70,7,5,0,11.3,,,
8,23,8,2,0,0,6,6,80,12.3,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,5,1,2,10,0,0.1,20,1,3.5,3,1,0.4
2,20,0,1.8,5,0,0.1,10,0,1.3,0,0,0
3,3,1,0.7,10,1,0.3,10,0,1.4,1,0,0.1
4,50,3,3.2,3,0,0.1,40,1,2.5,3,0,0.1
5,40,3,1.7,1,0,0.1,20,0,1.2,10,3,0.7
6,40,1,1.4,1,0,0.2,40,1,2.1,0,0,0
7,70,3,5.4,0,0,,5,0,0.8,0,0,0
8,20,1,1.3,10,3,0.5,30,1,1.9,3,0,0.1
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to df,to,,,,,,,,,,
2,hb,df,,,,,,,,,,
3,rw,to,,,,,,,,,,
4,to,to,,,,,,,,,,
5,to,to,,,,,,,,,,
6,to,to,,,,,,,,,,
7,to,hb,,,,,,,,,,
8,hb,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,12.1,4,,,,,,,,,,
1,13.2,3,,,,,,,,,,
2,13.7,3,,,,,,,,,,
3,8.9,5,,,,,,,,,,
3,7.9,3,,,,,,,,,,
3,12.5,3,,,,,,,,,,
3,13.1,4,,,,,,,,,,
3,8.2,3,,,,,,,,,,
4,16,3,,,,,,,,,,
4,13.5,3,,,,,,,,,,
6,9.2,5,,,,,,,,,,
5,8.9,3,,,,,,,,,,
5,9.3,3,,,,,,,,,,
5,41.2,4,,,,,,,,,,
5,9.8,5,,,,,,,,,,
7,13.6,3,,,,,,,,,,
8,13.1,3,,,,,,,,,,
