#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
waldon,gs,3/15/2023,2,2,4,10,8,switched second station to 9 meters after transect 6,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,n,135,jf,ac,4,5,10,dominant shrub ceanothus,,,,
2,n,248,jf,ac,19,5,10,small pond. crumbling logs at pond edge not counted,,,,
3,w,45,dr,dr,8,5,10,,,,,
4,w,135,dr,dr,20,5,10,,,,,
5,s,45,dr,jf,5,5,10,,,,,
6,s,315,dr,jf,5,5,10,,,,,
7,e,225,dr,jf,8,5,9,,,,,
8,e,315,dr,jf,13,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,20,9,3,6,50,3,5,20,4,,,
2,2,9,5,1,50,7,1,50,30,,,
3,1,0,0,8,80,15,7,60,4,,,
4,14,17,3,13,80,13,14,70,17,,,
5,11,9,5,17,60,12,6,50,4,,,
6,12,5,5,6,80,11,9,20,4,,,
7,20,20,6,12,70,15,17,50,25,,,
8,6,4,3,8,30,12,5,40,10,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,30,3,3,0,0,0,40,0.5,4,0,0,0
2,20,10,5,3,0,0.3,20,0,1.3,10,10,0.5
3,60,1,1.2,1,0.5,0.5,50,1,3.5,0.5,0.5,0.3
4,40,10,5.5,1,3,0.3,50,1,2.8,0.5,0.5,0.2
5,80,30,5,0,0,,40,3,2,5,0,0.1
6,80,20,6.3,0,0,,70,10,5.7,0,0,
7,40,0,5.2,1,1,0.2,30,3,4.8,1,1,20
8,40,1,2.5,0,0,,60,1,4.8,0,0,
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,rw cn to,cn to,,,,,,,,,,
4,cn to,cn to,,,,,,,,,,
5,rw,cn to,,,,,,,,,,
6,rw,rw,,,,,,,,,,
7,rw to,to,,,,,,,,,,
8,rw cn to,to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,9,5,,,,,,,,,,
1,13,2,,,,,,,,,,
2,48,3,,,,,,,,,,
2,10,5,,,,,,,,,,
3,16,5,,,,,,,,,,
3,15,5,,,,,,,,,,
3,14,5,,,,,,,,,,
3,14,5,,,,,,,,,,
4,32,3,,,,,,,,,,
4,12,4,,,,,,,,,,
4,30,5,,,,,,,,,,
5,28,4,,,,,,,,,,
5,42,5,,,,,,,,,,
6,26,3,,,,,,,,,,
7,15,4,,,,,,,,,,
7,13,3,,,,,,,,,,
7,18,5,,,,,,,,,,
7,34,3,,,,,,,,,,
8,26,4,,,,,,,,,,
8,12,5,,,,,,,,,,
8,16,4,,,,,,,,,,
