#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
waldon,ha,3/15/2023,2,2,4,10,8,NW corner has nutmeg,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,ne,180,jf,jf,44,5,10,,,,,
2,ne,274,jf,ac,6,5,10,,,,,
3,nw,180,jf,ac,24,5,10,,,,,
4,nw,90,jf,ac,46,5,10,,,,,
5,sw,270,jf,ac,24,5,10,,,,,
6,sw,6,jf,ac,63,5,10,offset because of old growth stump,,,,
7,se,90,jf,ac,67,5,10,,,,,
8,se,0,jf,ac,17,5,10,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,22,4,5,4.5,60,7,8.5,50,15,,,
2,11,3,1,5,70,6,6.5,90,3,,,
3,21,8,5,2,90,9,2.5,60,8,,,
4,13,2,1,4.5,40,7,10,60,13,,,
5,18,0,8,7.5,80,9,4,50,7,,,
6,29,2,1,18,90,23,6,30,6,,,
7,40,10,3,9,40,16,5,50,13,,,
8,26,1,4,9.5,30,9,4.5,80,8,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,30,0,1.7,3,0,0.2,20,0,1.8,0.5,0,0.1
2,10,0,0.8,10,3,0.3,5,0.5,0.4,0.5,0,0.1
3,30,3,1.7,0,0,0,10,0,0.6,0.5,0.5,0.3
4,20,0,1,0.5,0,0.1,0.5,20,1.1,0,0,0
5,20,0,0.6,0,0,0,10,0,0.8,3,0.5,0.3
6,0,0,0,0,0,0,20,0,0.9,3,0.5,0.2
7,20,0,0.8,0.5,0,0.3,0,0,0,5,0.5,23
8,0,0,0,5,0.5,0.2,40,0,0.9,0,0,0
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
2,14,4,,,,,,,,,,
4,9,5,,,,,,,,,,
4,9,5,,,,,,,,,,
5,9,4,,,,,,,,,,
7,8,5,,,,,,,,,,
8,10,5,,,,,,,,,,
8,11,5,,,,,,,,,,
8,11,5,,,,,,,,,,
