#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
waldos,gs,3/18/2023,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,sw,0,jw,jf,51,5,9,,,,,
2,sw,90,jw,jf,70,5,9,,,,,
3,nw,180,jw,jf,60,5,9,ferns,,,,
4,nw,45,jw,jf,17,5,9,ferns,,,,
5,ne,270,jw,jf,85,5,9,middle of rw clump at 9 m,,,,
6,ne,180,jw,jf,41,5,9,fwd disturbed. Raspberry at 5 m,,,,
7,se,0,jw,jf,43,5,9,,,,,
8,se,270,jw,jf,82,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,12,4,7,4,80,15,1,90,4,,,
2,20,13,5,1,15,18,15,50,10,,,
3,27,6,5,8,10,4,3,20,3,,,
4,11,2,5,15,45,8,7,5,5,,,
5,37,11,5,21,15,5,13,25,9,,,
6,8,3,7,1,5,7,2,100,3,,,
7,28,15,14,2,80,3,8,15,15,,,
8,11,20,11,7,10,21,7,20,7,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,60,20,5.8,0,0,,30,0,3.1,0.5,0,0.2
2,30,0,2,0,0,,30,10,3.2,0.5,0,0.1
3,20,0.5,2,10,3,0.5,50,1,3.2,1,1,0.4
4,40,3,4,20,3,0.4,40,0,2.5,20,3,0.5
5,80,20,9.5,0,0,,100,20,10.5,0,0,
6,3,0,1.5,0.5,10,0.9,60,10,5.6,0,0,
7,0,0,,50,10,1.1,1,0,1.5,30,3,1.1
8,0,0,,20,3,0.5,0.5,0,1.6,20,3,0.4
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,to,,,,,,,,,,
2,to,rw,,,,,,,,,,
3,df,df to,,,,,,,,,,
4,rw,to df,,,,,,,,,,
5,rw,rw,,,,,,,,,,
6,to,rw,,,,,,,,,,
7,-,to,,,,,,,,,,
8,-,-,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,10.1,4,,,,,,,,,,
1,9,3,,,,,,,,,,
1,12.9,4,,,,,,,,,,
2,15.5,4,,,,,,,,,,
2,8,4,,,,,,,,,,
2,8.3,4,,,,,,,,,,
2,44.2,3,,,,,,,,,,
3,7.9,3,,,,,,,,,,
3,7.9,5,,,,,,,,,,
3,20,4,,,,,,,,,,
3,17,5,,,,,,,,,,
3,17.2,4,,,,,,,,,,
4,19.4,4,,,,,,,,,,
4,7.8,3,,,,,,,,,,
5,9.5,5,,,,,,,,,,
5,21.8,3,,,,,,,,,,
6,9.2,3,,,,,,,,,,
6,8.9,3,,,,,,,,,,
6,9.8,4,,,,,,,,,,
8,7.8,3,,,,,,,,,,
8,25,3,,,,,,,,,,
8,26.2,4,,,,,,,,,,
8,24.5,4,,,,,,,,,,
8,12,4,,,,,,,,,,
8,13.3,4,,,,,,,,,,
8,26,3,,,,,,,,,,
8,10.5,3,,,,,,,,,,
8,39,3,,,,,,,,,,
7,13,5,,,,,,,,,,
7,15,5,,,,,,,,,,
7,18,5,,,,,,,,,,
