#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
waldos,ha,03/19/2023,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,sw,0,jw,jf,35,5,9,,,,,
2,sw,90,jw,jf,6,5,9,,,,,
3,nw,90,jw,jf,42,5,9,Pampas grass,,,,
4,nw,180,jw,jf,47,5,9,six downed rw trees at 5 and 9 m,,,,
5,ne,180,jw,jf,69,5,9,,,,,
6,ne,270,jw,jf,2,5,9,,,,,
7,se,0,jw,jf,51,5,9,,,,,
8,se,270,jw,jf,28,5,9,litter on top of stump at 9 m. perced fuels,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,42,15,3,6,50,9,4,70,5,,,
2,45,7,6,1.5,50,5,9,60,7,,,
3,33,22,8,5,30,10,1,100,24,,,
4,40,2,2,5.5,30,6,2,100,2,,,
5,63,7,1,3,90,5,10.5,20,3,,,
6,18,6,1,2.5,90,10,2,100,6,,,
7,84,13,5,2,100,5,2,95,3.5,,,
8,63,2,1,8,40,11,21,50,90,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,40,0,3.2,0,0,,50,0.5,2.8,0,0,
2,10,0,1.8,1,1,0.4,20,1,2.5,0,0,
3,30,0.5,3.9,10,3,2.8,20,1,1.8,20,10,0.5
4,50,0,2.8,10,10,0.4,80,20,2,0,0,
5,0.5,0,1.5,10,1,0.3,3,0,1,3,0,0.4
6,10,0,1.5,3,3,0.4,3,0,,10,3,0.4
7,20,3,2.8,0.5,0,0.2,3,0,1.5,10,3,0.2
8,40,3,2.6,0,0,,70,10,5,0,0,
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,to,to,,,,,,,,,,
2,to,to,,,,,,,,,,
3,rw,rw,,,,,,,,,,
4,rw,rw,,,,,,,,,,
5,to,to,,,,,,,,,,
6,to,,,,,,,,,,,
7,cn,rw,,,,,,,,,,
8,rw,rw,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,14,3,,,,,,,,,,
1,13,3,,,,,,,,,,
1,30,4,,,,,,,,,,
3,38,3,,,,,,,,,,
3,97,3,,,,,,,,,,
4,28.5,3,,,,,,,,,,
4,15.1,4,,,,,,,,,,
5,10,5,,,,,,,,,,
5,26.5,3,,,,,,,,,,
5,18.7,3,,,,,,,,,,
5,8.5,3,,,,,,,,,,
5,10.2,4,,,,,,,,,,
6,15.1,4,,,,,,,,,,
6,30,4,,,,,,,,,,
6,15,3,,,,,,,,,,
6,12.8,3,,,,,,,,,,
6,14.1,4,,,,,,,,,,
6,15.5,3,,,,,,,,,,
7,14.2,3,,,,,,,,,,
7,10.6,3,,,,,,,,,,
8,11.7,3,,,,,,,,,,
