#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
waldos,ld,3/18/2023,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,sw,0,jf,jw,52,5,9,,,,,
2,sw,90,jf,jw,2,5,9,,,,,
3,nw,90,jf,jw,65,5,9,ferns,,,,
4,nw,180,jf,jw,41,5,9,,,,,
5,ne,180,jf,jw,76,5,9,tape pinned at stump,,,,
6,ne,270,jf,jw,5,5,9,,,,,
7,se,0,jf,jw,75,5,9,,,,,
8,se,270,jf,jw,3,5,9,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,11,10,6,11,50,25,2.5,60,4,,,
2,19,8,0,1.5,100,1.5,2.5,80,5,,,
3,6,6,2,10,30,10,7,20,13,,,
4,10,5,4,2,100,2,7,10,6,,,
5,17,1,0,2,100,2,19.5,10,2,,,
6,6,1,3,2.5,90,2.7,7.5,30,4,,,
7,16,7,0,6.5,10,11,4,50,6,,,
8,5,3,0,3.5,70,2,11.5,20,4,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,3,0,1.3,1,3,0.4,50,3,6,1,0.5,0.3
2,20,0.5,2,1,1,0.6,30,3,3.5,10,1,0.4
3,3,0.5,1.7,50,10,0.7,0,0,0,30,10,0.6
4,1,0,0.5,5,1,0.3,50,3,3,0.5,0.5,0.1
5,0.5,0.5,0.7,10,0.5,0.3,6,10,5.5,5,3,0.5
6,10,0,1.4,20,10,0.6,5,0.5,0.8,20,3,0.8
7,50,0.5,3,1,0.5,0.3,3,0,2,10,10,0.7
8,20,1,1,10,10,0.4,70,20,4,0,0,0
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,rw,rw,,,,,,,,,,
2,to rw,rw,,,,,,,,,,
3,to,-,,,,,,,,,,
4,df,to rw,,,,,,,,,,
5,to,rw,,,,,,,,,,
6,to,to rw,,,,,,,,,,
7,df to,to,,,,,,,,,,
8,to,rw,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
2,8,4,,,,,,,,,,
2,14,5,,,,,,,,,,
1,36,5,,,,,,,,,,
4,23,4,,,,,,,,,,
6,9,4,,,,,,,,,,
6,12,5,,,,,,,,,,
8,14,4,,,,,,,,,,
