#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
whiskey,gs,03/20/2022,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,w,135,jf,jf,65,5,10,,,,,
2,w,45,jf,jf,0,5,10,,,,,
3,n,225,jf,jf,60,5,10,,,,,
4,n,135,jf,jf,20,5,10,,,,,
5,e,315,jf,jf,12,5,10,,,,,
6,e,225,jf,jf,50,5,10,,,,,
7,s,45,jf,jf,62,5,10,,,,,
8,s,315,jf,jf,25,5,10,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
1,5,0,0,4,100,,3.5,70,,,,
2,1,4,3,3,100,,15,30,,,,
3,3,4,3,4,90,,3,9,,,,
4,26,10,6,9.5,50,,11.5,20,,,,
5,7,4,4,2,5,,4,90,,,,
6,1,1,1,0,,,2.5,10,,,,
7,3,3,5,4.5,80,,1.5,20,,,,
8,10,8,0,5,30,,1.5,0,,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
1,0,0,,80,10,8.9,2,0,0.2,70,0,5
2,3,0,0.2,70,5,8.6,2,2,1,60,0,5.2
3,0,0,,80,5,5.4,0,0,,90,2,9.6
4,5,5,0.5,50,5,4.3,2,2,0.4,70,5,4.2
5,2,0,0.1,30,0,3,20,2,0.7,50,5,5.2
6,2,3,0.7,15,0,2.6,50,2,0.2,50,0,3.3
7,2,2,0.2,80,0,4,30,2,0.2,30,2,2.4
8,5,2,0.4,50,0,4.1,10,2,0.5,15,0,2.6
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
1,rw,rw to,,,,,,,,,,
2,rw,rw,,,,,,,,,,
3,rw,rw,,,,,,,,,,
4,rw to,rw to,,,,,,,,,,
5,mz rw,rw to,,,,,,,,,,
6,cn rw to mz,rw to,,,,,,,,,,
7,to,mz cn,,,,,,,,,,
8,rw to,rw to,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
8,26,5,,,,,,,,,,
8,21,2,,,,,,,,,,
2,13,3,,,,,,,,,,
2,14,3,,,,,,,,,,
4,27,4,,,,,,,,,,
5,20,5,,,,,,,,,,
