#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
whiskey,hd,03/18/2022,2,2,4,10,8,,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,w,135,jf,jf,10,5,10,,,,,
2,w,45,jf,jf,65,5,10,,,,,
3,n,225,jf,jf,45,5,10,,,,,
4,n,135,jf,jf,17,5,10,,,,,
5,e,315,jf,jf,6,5,10,,,,,
6,e,225,jf,jf,17,5,10,,,,,
7,s,42,jf,jf,,5,10,,,,,
8,s,315,jf,jf,15,5,10,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter1,pct_litter1,fbd1,duff_litter2,pct_litter2,fbd2,,,
1,13,5,2,8,10,,7,70,,,,
2,22,5,7,13,2,,2.5,10,,,,
3,1,1,2,11.5,50,,7.5,10,,,,
4,9,3,7,3,25,,6,50,,,,
5,11,4,3,2,100,,11,25,,,,
6,13,8,7,13,10,,19,2,,,,
7,23,11,11,9,25,,6,10,,,,
8,18,8,1,6,90,,5,90,,,,
#vegetation,,,,,,,,,,,,
transect,live_woody1,dead_woody1,avg_w_ht1,live_herb1,dead_herb1,avg_h_ht1,live_woody2,dead_woody2,avg_w_ht2,live_herb2,dead_herb2,avg_h_ht2
1,30,0,3,10,0,0.1,70,0,4.9,4,0,0.1
2,10,0,1.9,2,0,0.1,60,0,5.4,10,0,0.1
3,70,2,4.2,1,0,0.1,60,0,3.5,5,15,0.7
4,30,0,3,15,10,0.6,0,0,,30,15,0.8
5,20,0,2.2,0,0,,50,0,3.9,10,0,0.1
6,60,5,2.7,1,0,0.1,20,0,2.1,0,0,
7,,,,,,,30,5,5.1,2,0,0.1
8,20,0,3.1,5,0,0.2,70,5,5,2,5,0.6
#woody_species,,,,,,,,,,,,
transect,species1,species2,,,,,,,,,,
1,,,,,,,,,,,,
2,,,,,,,,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
1,44,4,,,,,,,,,,
1,14,5,,,,,,,,,,
1,12,4,,,,,,,,,,
2,12,3,,,,,,,,,,
2,11,3,,,,,,,,,,
3,11,3,,,,,,,,,,
3,22,5,,,,,,,,,,
3,24,3,,,,,,,,,,
4,9,2,,,,,,,,,,
4,23,3,,,,,,,,,,
5,13,4,,,,,,,,,,
5,14,3,,,,,,,,,,
5,15,3,,,,,,,,,,
5,17,4,,,,,,,,,,
5,9,3,,,,,,,,,,
5,10,4,,,,,,,,,,
5,14,5,,,,,,,,,,
6,38,2,,,,,,,,,,
6,11,4,,,,,,,,,,
6,17,3,,,,,,,,,,
6,17,5,,,,,,,,,,
6,8,5,,,,,,,,,,
6,17,4,,,,,,,,,,
6,14,5,,,,,,,,,,
6,14,4,,,,,,,,,,
6,13,5,,,,,,,,,,
6,8,4,,,,,,,,,,
6,10,3,,,,,,,,,,
6,9,3,,,,,,,,,,
6,9,5,,,,,,,,,,
6,17,4,,,,,,,,,,
6,13,3,,,,,,,,,,
7,15,5,,,,,,,,,,
7,18,2,,,,,,,,,,
8,23,3,,,,,,,,,,
8,12,3,,,,,,,,,,
