#site_data,,,,,,,,,,,,
site,treatment,date,onehr,tenhr,hundhr,thoushr,trans_count,notes,,,,
whiskey,ld,4/23/2022,2,2,4,10,8,moss included as litter,,,,
#transects,,,,,,,,,,,,
transect,corner,azi,fwd_crew,veg_crew,slope,metermark1,metermark2,notes,,,,
1,w,135,jf,jf,8,5,10,,,,,
2,w,45,jf,jf,45,5,10,,,,,
3,n,225,jf,jf,25,5,10,,,,,
4,n,135,jf,jf,13,5,10,,,,,
5,e,315,jf,jf,5,5,10,,,,,
6,e,225,jf,jf,41,5,10,,,,,
7,s,45,jf,jf,53,5,10,,,,,
8,s,315,jf,jf,5,5,10,,,,,
#duff_litter_fbd,,,,,,,,,,,,
transect,onehr,tenhr,hundhr,duff_litter2,pct_litter2,fbd2,duff_litter1,pct_litter1,fbd1,,,
7,8,9,11,4.5,60,,5.5,0,,,,
8,11,12,13,9.5,20,,10.5,20,,,,
1,31,19,4,6,20,,2,50,,,,
2,9,7,9,6.5,10,,8.5,10,,,,
3,16,10,6,0.5,100,,3,90,,,,
4,15,13,7,9.5,20,,7,5,,,,
5,9,17,1,10,50,,7,30,,,,
6,5,6,2,12.5,10,,7,70,,,,
#vegetation,,,,,,,,,,,,
transect,live_herb2,dead_herb2,avg_h_ht2,live_woody2,dead_woody2,avg_w_ht2,live_herb1,dead_herb1,avg_h_ht1,live_woody1,dead_woody1,avg_w_ht1
7,1,0,0.1,40,0,3.2,40,0,0.1,40,0,4.8
8,1,3,0.7,70,2,6,1,3,0.7,60,5,6
1,40,0,0.8,40,0,4,15,0,0.1,5,0,3
2,5,10,0.9,20,0,2.2,1,0,0.6,40,5,2.5
3,20,0,0.1,5,0,1.4,5,0,0.2,60,0,3.3
4,1,0,0.1,30,2,4.2,5,0,0.1,10,0,2
5,30,5,0.5,60,0,3.4,30,0,0.2,50,0,3
6,2,2,0.5,70,2,4.5,70,0,0.3,10,0,1.8
#woody_species,,,,,,,,,,,,
transect,species2,species1,,,,,,,,,,
7,rw,to,,,,,,,,,,
8,rw,rw,,,,,,,,,,
1,to,rw to,,,,,,,,,,
2,to,rw to,,,,,,,,,,
3,to,to,,,,,,,,,,
4,rw,rw to,,,,,,,,,,
5,to,rw to,,,,,,,,,,
6,rw to,to mz,,,,,,,,,,
#coarse_woody_debris,,,,,,,,,,,,
transect,dia,decay,,,,,,,,,,
7,47,3,,,,,,,,,,
7,11,2,,,,,,,,,,
7,12,4,,,,,,,,,,
7,15,3,,,,,,,,,,
7,11,4,,,,,,,,,,
7,24,4,,,,,,,,,,
8,12,3,,,,,,,,,,
5,17,4,,,,,,,,,,
5,10,3,,,,,,,,,,
8,24,4,,,,,,,,,,
8,21,5,,,,,,,,,,
8,11,3,,,,,,,,,,
8,9.5,3,,,,,,,,,,
1,19,4,,,,,,,,,,
1,11,4,,,,,,,,,,
1,13,4,,,,,,,,,,
5,10,3,,,,,,,,,,
5,11,4,,,,,,,,,,
1,36,5,,,,,,,,,,
2,35,4,,,,,,,,,,
2,32,5,,,,,,,,,,
2,11,4,,,,,,,,,,
2,8.2,3,,,,,,,,,,
2,26,2,,,,,,,,,,
2,35,5,,,,,,,,,,
5,19,2,,,,,,,,,,
2,11.5,3,,,,,,,,,,
2,15,4,,,,,,,,,,
3,16.5,5,,,,,,,,,,
3,20,5,,,,,,,,,,
3,13,4,,,,,,,,,,
3,9.5,3,,,,,,,,,,
3,8.5,3,,,,,,,,,,
5,19,4,,,,,,,,,,
6,13,2,,,,,,,,,,
3,11.5,3,,,,,,,,,,
4,14.5,3,,,,,,,,,,
4,21,5,,,,,,,,,,
4,11.5,4,,,,,,,,,,
4,10.5,3,,,,,,,,,,
4,9.3,3,,,,,,,,,,
5,15,3,,,,,,,,,,
5,10,4,,,,,,,,,,
5,24,3,,,,,,,,,,
