"","phase","site","treatment","corner","azi","station","duff_depth","litter_depth","load"
"1","prepct","camp6","gs","s",315,"1",0,1,7.73
"2","prepct","camp6","gs","s",315,"2",0,4,30.92
"3","prepct","camp6","gs","s",45,"1",0.6,2.4,23.19
"4","prepct","camp6","gs","s",45,"2",0.3,2.7,23.19
"5","prepct","camp6","gs","w",45,"1",0,1,7.73
"6","prepct","camp6","gs","w",45,"2",2.2,8.8,85.03
"7","prepct","camp6","gs","w",135,"1",8.1,0.9,69.57
"8","prepct","camp6","gs","w",135,"2",7.2,0.8,61.84
"9","prepct","camp6","gs","n",135,"1",3.2,0.8,30.92
"10","prepct","camp6","gs","n",135,"2",6.4,1.6,61.84
"11","prepct","camp6","gs","n",225,"1",0,5,38.65
"12","prepct","camp6","gs","n",225,"2",0,1,7.73
"13","prepct","camp6","gs","e",225,"1",4,1,38.65
"14","prepct","camp6","gs","e",225,"2",2.8,1.2,30.92
"15","prepct","camp6","gs","e",315,"1",4.5,0.5,38.65
"16","prepct","camp6","gs","e",315,"2",3.2,0.8,30.92
"17","prepct","camp6","ha","s",315,"1",1.5,1.5,23.19
"18","prepct","camp6","ha","s",315,"2",2.8,1.2,30.92
"19","prepct","camp6","ha","s",45,"1",0.4,1.6,15.46
"20","prepct","camp6","ha","s",45,"2",0.7,6.3,54.11
"21","prepct","camp6","ha","e",225,"1",0,1,7.73
"22","prepct","camp6","ha","e",225,"2",6,0,46.38
"23","prepct","camp6","ha","e",315,"1",6,6,92.76
"24","prepct","camp6","ha","e",315,"2",1.2,2.8,30.92
"25","prepct","camp6","ha","w",45,"1",2.1,1.4,27.055
"26","prepct","camp6","ha","w",45,"2",2,0.5,19.325
"27","prepct","camp6","ha","w",135,"1",6,0,46.38
"28","prepct","camp6","ha","w",135,"2",0.2,0.8,7.73
"29","prepct","camp6","ha","n",135,"1",2.8,1.2,30.92
"30","prepct","camp6","ha","n",135,"2",0.9,0.1,7.73
"31","prepct","camp6","ha","n",225,"1",3.5,1.5,38.65
"32","prepct","camp6","ha","n",225,"2",0.9,0.6,11.595
"33","prepct","camp6","hd","s",45,"1",6.3,0.7,54.11
"34","prepct","camp6","hd","s",45,"2",2.8,0.7,27.055
