"","phase","site","treatment","corner","azi","class","load"
"1","postpct","camp6","gs","e",0,"dufflitter",57.975
"2","postpct","camp6","gs","e",315,"dufflitter",112.085
"3","postpct","camp6","gs","n",135,"dufflitter",42.515
"4","postpct","camp6","gs","n",225,"dufflitter",73.435
"5","postpct","camp6","gs","s",45,"dufflitter",38.65
"6","postpct","camp6","gs","s",315,"dufflitter",119.815
"7","postpct","camp6","gs","w",39,"dufflitter",108.22
"8","postpct","camp6","gs","w",135,"dufflitter",57.975
"9","postpct","camp6","ha","e",225,"dufflitter",30.92
"10","postpct","camp6","ha","e",315,"dufflitter",104.355
"11","postpct","camp6","ha","n",135,"dufflitter",61.84
"12","postpct","camp6","ha","n",225,"dufflitter",34.785
"13","postpct","camp6","ha","s",45,"dufflitter",88.895
"14","postpct","camp6","ha","s",315,"dufflitter",30.92
"15","postpct","camp6","ha","w",45,"dufflitter",77.3
"16","postpct","camp6","ha","w",135,"dufflitter",77.3
"17","postpct","camp6","hd","e",225,"dufflitter",85.03
"18","postpct","camp6","hd","e",315,"dufflitter",46.38
"19","postpct","camp6","hd","n",135,"dufflitter",88.895
"20","postpct","camp6","hd","n",225,"dufflitter",38.65
"21","postpct","camp6","hd","s",45,"dufflitter",30.92
"22","postpct","camp6","hd","s",315,"dufflitter",42.515
"23","postpct","camp6","hd","w",42,"dufflitter",104.355
"24","postpct","camp6","hd","w",135,"dufflitter",77.3
"25","postpct","camp6","ld","e",225,"dufflitter",77.3
"26","postpct","camp6","ld","e",315,"dufflitter",57.975
"27","postpct","camp6","ld","n",135,"dufflitter",92.76
"28","postpct","camp6","ld","n",225,"dufflitter",54.11
"29","postpct","camp6","ld","s",45,"dufflitter",104.355
"30","postpct","camp6","ld","s",315,"dufflitter",61.84
"31","postpct","camp6","ld","w",45,"dufflitter",38.65
"32","postpct","camp6","ld","w",135,"dufflitter",85.03
"33","postpct","waldon","gs","e",225,"dufflitter",320.795
"34","postpct","waldon","gs","e",315,"dufflitter",309.2
"35","postpct","waldon","gs","n",135,"dufflitter",162.33
"36","postpct","waldon","gs","n",262,"dufflitter",270.55
"37","postpct","waldon","gs","s",45,"dufflitter",228.035
"38","postpct","waldon","gs","s",315,"dufflitter",231.9
"39","postpct","waldon","gs","w",45,"dufflitter",425.15
"40","postpct","waldon","gs","w",135,"dufflitter",328.525
"41","postpct","waldon","ha","ne",180,"dufflitter",104.355
"42","postpct","waldon","ha","ne",290,"dufflitter",112.085
"43","postpct","waldon","ha","nw",90,"dufflitter",143.005
"44","postpct","waldon","ha","nw",180,"dufflitter",112.085
"45","postpct","waldon","ha","se",0,"dufflitter",96.625
"46","postpct","waldon","ha","se",270,"dufflitter",77.3
"47","postpct","waldon","ha","sw",35,"dufflitter",50.245
"48","postpct","waldon","ha","sw",90,"dufflitter",50.245
"49","postpct","waldon","hd","ne",180,"dufflitter",224.17
"50","postpct","waldon","hd","ne",270,"dufflitter",177.79
"51","postpct","waldon","hd","nw",90,"dufflitter",143.005
"52","postpct","waldon","hd","nw",180,"dufflitter",177.79
"53","postpct","waldon","hd","se",0,"dufflitter",61.84
"54","postpct","waldon","hd","se",270,"dufflitter",150.735
"55","postpct","waldon","hd","sw",0,"dufflitter",127.545
"56","postpct","waldon","hd","sw",90,"dufflitter",170.06
"57","postpct","waldon","ld","ne",180,"dufflitter",193.25
"58","postpct","waldon","ld","ne",270,"dufflitter",193.25
"59","postpct","waldon","ld","nw",90,"dufflitter",309.2
"60","postpct","waldon","ld","nw",180,"dufflitter",309.2
"61","postpct","waldon","ld","se",0,"dufflitter",231.9
"62","postpct","waldon","ld","se",270,"dufflitter",444.475
"63","postpct","waldon","ld","sw",0,"dufflitter",289.875
"64","postpct","waldon","ld","sw",90,"dufflitter",270.55
"65","postpct","waldos","gs","ne",168,"dufflitter",425.15
"66","postpct","waldos","gs","ne",270,"dufflitter",189.385
"67","postpct","waldos","gs","nw",90,"dufflitter",247.36
"68","postpct","waldos","gs","nw",180,"dufflitter",139.14
"69","postpct","waldos","gs","se",0,"dufflitter",251.225
"70","postpct","waldos","gs","se",270,"dufflitter",243.495
"71","postpct","waldos","gs","sw",0,"dufflitter",239.63
"72","postpct","waldos","gs","sw",90,"dufflitter",208.71
"73","postpct","waldos","ha","ne",178,"dufflitter",46.38
"74","postpct","waldos","ha","ne",270,"dufflitter",143.005
